,Smart Card,Recommended_Collaborative_Filtering
0,200002496528,"BATH, COLOUR COSMETICS, FISH, GLASS WARE, GLUCOSE & ENERGY, INDIAN WEAR TOPS, LAB, SHOE CARE, SPORT"
1,200011646338,"BATH, BED, CERAMIC WARE, FROZEN NON VEG, GLUCOSE & ENERGY, MEN'S BOTTOMWEAR, MILK FOOD, PACKD DRINKING WATER, READY TO EAT"
2,200013885694,"BATH, CERAMIC WARE, FASHION CONC, FROZEN NON VEG, FROZEN VEG, GLUCOSE & ENERGY, KITCHEN, MILK FOOD, SERVE/TABLE WARE"
3,200013886073,"EGG, FROZEN, FURNISHING, GLASS WARE, INDIAN WEAR TOPS, MEN'S INNERWEAR, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
4,200000025584,"COOKWARE METAL, DISINFECTANT AND MUL, ELECTRICAL EQUIPMENT, FASHION CONC, FROZEN NON VEG, GIFT CARD & VOUCHERS, GLASS WARE, KIDS BOYS BWEAR, KITCHEN"
5,200000136756,"ALLNCE & MISC INCOME, FROZEN NON VEG, GIFT CARD & VOUCHERS, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, SERVE/TABLE WARE"
6,200000166359,"COLOUR COSMETICS, FASHION CONC, FROZEN NON VEG, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MEN'S BOTTOMWEAR, OTC FOOD, OTHER RTD"
7,200000210933,"ALLNCE & MISC INCOME, DISINFECTANT AND MUL, GIFT CARD & VOUCHERS, KID'S BOYS TOP WEAR, LAB, MEN'S INNERWEAR, OTHER RTD, SHOE CARE, SPORT"
8,200000220444,"BATH, COLOUR COSMETICS, FROZEN NON VEG, FURNISHING, KITCHEN, OTHER RTD, PACKD DRINKING WATER, SERVE/TABLE WARE, SHOE CARE"
9,200000240642,"BATH, CERAMIC WARE, FROZEN NON VEG, FURNISHING, INDIAN WEAR TOPS, MEN'S INNERWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
10,200000314433,"BATH, COLOUR COSMETICS, EGG, FROZEN NON VEG, INDIAN WEAR TOPS, KITCHEN, MEN'S BOTTOMWEAR, SHOE CARE, STATIONERY"
11,200000314488,"ALLNCE & MISC INCOME, CERAMIC WARE, LAB, MEN'S BOTTOMWEAR, MEN'S INNERWEAR, OTHER RTD, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
12,200000314974,"BATHROOM AIDS, CERAMIC WARE, DISINFECTANT AND MUL, FROZEN NON VEG, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, READY TO EAT"
13,200000316228,"BATH, FASHION CONC, FROZEN NON VEG, GLASS WARE, MELAMINE WARE, MILK FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, TEA BAGS"
14,200000316307,"COLOUR COSMETICS, FASHION CONC, FISH, FURNISHING, GLUCOSE & ENERGY, MELAMINE WARE, MEN'S BOTTOMWEAR, OTHER RTD, SYRUPS & CONCENTRATE"
15,200000316431,"ALLNCE & MISC INCOME, FASHION CONC, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, OTHER RTD, SERVE/TABLE WARE, SPORT"
16,200000316468,"ALLNCE & MISC INCOME, BATH, BED, FROZEN NON VEG, GLASS WARE, LAB, MEN'S INNERWEAR, PICKLE/CHUTNEY, TEA BAGS"
17,200000316486,"BATH, FASHION CONC, FURNISHING, KITCHEN, MELAMINE WARE, MILK FOOD, PACKD DRINKING WATER, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
18,200000316495,"BED, CERAMIC WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MELAMINE WARE, OTC FOOD, PICKLE/CHUTNEY, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
19,200000316501,"COLOUR COSMETICS, FASHION CONC, FURNISHING, KITCHEN APPLIANCES, OTC FOOD, OTHER RTD, PACKD DRINKING WATER, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
20,200000317281,"FASHION CONC, FROZEN NON VEG, FURNISHING, GIFT CARD & VOUCHERS, INDIAN WEAR TOPS, KITCHEN, MEN'S INNERWEAR, PACKD DRINKING WATER, SYRUPS & CONCENTRATE"
