,Smart Card,Recommended_Association_Rule
0,200000379607," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  PACKAGED TEA,  MASALA & SPICE,  KIDS BOYS BWEAR,  BREAKFAST CEREAL,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  CLEANING AID,  FLOOR CARE,  POOJA NEED,  JAMS/HONEY/SPREAD,  NOODLE/VERMICELLI,  READY TO FRY,  GIFT CARD & VOUCHERS,  BAKERY,  DRINKS & JUICES,  CARBONATED"
1,200001364356," VISUAL, VISUAL,  COOKWARE METAL,  GIFT CARD & VOUCHERS"
2,200002069379," SWEETENER,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  HAIR CARE,  PATISSERIE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  DRINKS & JUICES,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  KIDS BOYS BWEAR,  MASALA & SPICE,  PACKAGED TEA,  BREAKFAST CEREAL,  SOUP,  EDIBLE OIL,  FRESH FRUIT,  DAIRY,  SALT,  CLEANING AID,  BATHROOM AIDS,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  NOODLE/VERMICELLI,  FLOOR CARE, MASALA & SPICE,  BAKERY,  READY TO FRY,  CARBONATED,  GIFT CARD & VOUCHERS"
3,200002496528," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  DRINKS & JUICES,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  SALT,  COFFEE,  CLEANING AID,  BABY NEEDS,  BATHROOM AIDS,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  READY TO FRY,  FLOOR CARE,  NOODLE/VERMICELLI,  BAKERY,  GIFT CARD & VOUCHERS,  CARBONATED"
4,200003223479," SWEETENER,  FEMININE HYGIENE,  TOILET CLEANER,  VISUAL,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  FOOD SERVICE,  SKIN CARE,  BREAKFAST CEREAL,  MASALA & SPICE,  KIDS BOYS BWEAR,  PACKAGED TEA,  SOUP,  EDIBLE OIL,  FRESH FRUIT,  DAIRY,  COFFEE,  CLEANING AID,  BABY NEEDS,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD, LAUNDRY,  GIFT CARD & VOUCHERS,  NOODLE/VERMICELLI,  READY TO FRY,  BAKERY,  DRINKS & JUICES,  CARBONATED"
5,200007816365," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  SALT,  CLEANING AID,  BABY NEEDS,  BATHROOM AIDS,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  NOODLE/VERMICELLI,  GIFT CARD & VOUCHERS,  READY TO FRY,  BAKERY,  DRINKS & JUICES,  CARBONATED"
6,200009756313," SWEETENER,  VISUAL,  FRESH VEG,  INSECTICIDE,  UTENSIL CLEANER,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  KIDS BOYS BWEAR,  BREAKFAST CEREAL,  MASALA & SPICE,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  FRESH FRUIT,  CLEANING AID,  FLOOR CARE,  POOJA NEED,  JAMS/HONEY/SPREAD,  READY TO FRY,  NOODLE/VERMICELLI,  GIFT CARD & VOUCHERS,  BAKERY,  DRINKS & JUICES,  CARBONATED"
7,200010653322,
8,200011646338," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  DRINKS & JUICES,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  SALT,  COFFEE,  CLEANING AID,  BABY NEEDS,  BATHROOM AIDS,  ORGANIC FOOD,  KITCHEN APPLIANCES,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  READY TO FRY,  FLOOR CARE,  NOODLE/VERMICELLI,  BAKERY,  GIFT CARD & VOUCHERS,  CARBONATED"
9,200013633930," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  SALT,  CLEANING AID,  BABY NEEDS,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  NOODLE/VERMICELLI,  FLOOR CARE,  READY TO FRY,  BAKERY,  DRINKS & JUICES,  CARBONATED,  GIFT CARD & VOUCHERS"
